dataset,model,silhouette,silhouette_pca,davies_bouldin,sse,min_balance,avg_balance,violation_rate,avg_dp_gap,tree_fidelity,tree_depth,tree_leaves,avg_exemplar_coverage,min_exemplar_coverage,avg_medoid_distance,runtime_s
german,kmeans_baseline,0.09093448840379889,0.2290701755407831,2.3828797304176206,10040.88088511988,0.10687022900763359,0.4156210986633092,0.4,0.08428793749260444,0.9033333333333333,4,15,0.86194633122553,0.846820809248555,3.9016349465797346,0.13
german,kmedians_baseline,0.03326174693472975,0.050048296846725925,3.4416371488379034,11278.879153763995,0.2710843373493976,0.4555575018149394,0.2,0.05188120235785452,0.6166666666666667,4,16,0.8620751362144663,0.84,3.8966401785499274,0.1
german,fair_kmedians,-0.009655697165202596,-0.01815006189435053,7.255024624024493,12450.664833817797,0.4057971014492754,0.4491146611325861,0.0,0.017748118927690792,0.52,4,16,0.86022271086383,0.832089552238806,4.051193768640262,0.09
