dataset,model,silhouette,silhouette_pca,davies_bouldin,sse,min_balance,avg_balance,violation_rate,avg_dp_gap,tree_fidelity,tree_depth,tree_leaves,avg_exemplar_coverage,min_exemplar_coverage,avg_medoid_distance,runtime_s
adult,kmeans_baseline,0.12959760300934653,0.24676042449515406,1.714926632795035,185838.24776647054,0.1590909090909091,0.4268698894996806,0.3333333333333333,0.09439004355529579,0.8556666666666667,4,13,0.8653219993859298,0.8511730205278593,2.82417950504016,35.33
adult,kmedians_baseline,0.05272174857296554,0.0122888284415859,3.1840399062891684,239828.24335099885,0.09100050276520864,0.5658732011513138,0.3333333333333333,0.2011071081075054,0.8998888888888888,4,16,0.8973973129093568,0.8903225806451613,2.876423545154635,31.77
adult,fair_kmedians,-0.008232369419988731,-0.03871790606714782,5.756785193831128,270364.5845042765,0.3588929219600726,0.54153524343074,0.0,0.08926186696649514,0.5567777777777778,4,16,0.8993584878553252,0.8818030050083473,3.0323602727389782,32.2
